_id,name,image_urls
8a4c2b1d-9e3f-4a5d-b7c6-2d1e9f8a3b5c,"Виниловая пластинка","/storage/source/1/nn2dnGqcNIOtgh2IWHoVWeIzZLluIysP.png,/storage/source/1/eeS4YdNfGSASffh61AJEfyAIVrL6ioDH.png"
6c2e1d9f-7a3b-4c5d-b8e7-4f2a1b9c8d3e,"Две виниловые пластинки","/storage/source/1/j3jAjN6nyWlB6a83By-sLYCstlyTdq9b.png"
5d1f2e9a-6b4c-3d5e-c9f8-5a2b1c9d8e3f,"Три виниловые пластинки","/storage/source/1/lSk7YZRHNXb4dhl5HD96EZ0FIpZ11bnR.png"
4e2a3f1b-5c6d-2e7f-d8a9-6b3c2d1e9f4a,"Золотая пластинка","/storage/source/1/yFFvZ3as7tiUbBj095Yp5Olv2Zk-dYNY.png"
3f1b2a4e-4d5c-1f6e-e7b8-7c4d2e1f9a5b,"Две золотые пластинки","/storage/source/1/Id6HipkbuIXwuUAlJgxCQmk7y82Y_Tpk.png"
2a3c4b1d-3e5f-2g6h-f9i8-8d5e2f1a9b6c,"Три золотые пластинки","/storage/source/1/z3E-ZHHJp8d01yV3k2l3X3fy1A62GGxE.png"
1b2c3d4e-2f3g-4h5i-j6k7-9e6f3g2h1i4j,"Платиновая пластинка","/storage/source/1/alWqb2W3ldubQjRng2pUI4AWrGa0ySfw.png"
9c8b7a6d-1e2f-3g4h-i5j6-0f7g4h1i2j3k,"Бриллиантовая пластинка","/storage/source/1/2tI0y4HGorrt-vUOcj5DGDhZ3L4HbfPM.png"
8d7c6b5a-9f1e-2g3h-i4j5-1g8h5i2j3k4l,"Сержант","/storage/source/1/_RxoDTGn5dtAARj_0kWXrbvEBOtUqak5.png"
7e6d5c4b-8a1f-2g3h-i4j5-2h9i6j3k4l5m,"Рэмбо","/storage/source/1/fvd3W53LivI8kYQT16M3O1FIEmSBeDjw.png"
6f5e4d3c-7b2a-1g3h-i4j5-3i0j7k4l5m6n,"Лейтенант","/storage/source/1/ss5kmfFa3l2Z1zx2nbheYKAHG4j7GUOS.png"
5g6f4e3d-6c3b-1h2i-j4k5-4j1k8l5m6n7o,"Чак Норрис","/storage/source/1/ga4O8ALF0T9e14dW3PbBkleDRczFyWo8.png"
4h7g5f3e-5d4c-1i2j-k4l5-5k2l9m6n7o8p,"Генерал","/storage/source/1/WKgIZdl-KOuBSWFWRo1CbPnkQsB1qrHG.png"
3i8h6g4f-4e5d-1j2k-l4m5-6l3m0n7o8p9q,"Недосягаемые","/storage/source/1/Fj8fkSUZSleH1na2hTJ0ZF5TxI2V_wP7.png"
2j9i7h5g-3f6e-1k2l-m4n5-7m4n1o8p9q0r,"Легенда","/storage/source/1/vymbAtLhrNGoinHXbRE0MSb4MwUHNGLp.png"
