_id,game_id,team_id,rounds,sum,place,rank_id,has_errors
e357a354-2931-4505-ae4a-d919738058f6,89021,ab91a8cf-a2f4-4e45-9308-6436ccd62908,"12,7,5,5,4,5,24",62,1,9c8b7a6d-1e2f-3g4h-i5j6-0f7g4h1i2j3k,false
2705b698-3a2e-4605-b569-7c6f6871e375,89021,6da82136-1535-4363-8c7e-fbb85fd7d620,"12,9,5,3,5,6,22",62,2,9c8b7a6d-1e2f-3g4h-i5j6-0f7g4h1i2j3k,false
6efb28d7-5726-4dfa-b9d5-b45a6a58cdd0,89021,b2634e33-8964-4008-9255-254a88755c94,"9,11,4,5,4.5,4,21",58.5,3,9c8b7a6d-1e2f-3g4h-i5j6-0f7g4h1i2j3k,false
8d8282dd-32e5-4e5d-a365-3564f5a435e9,89021,807452eb-7f23-4914-8ac4-276cc423116e,"10,6,3,4,4,5,24",56,4,1b2c3d4e-2f3g-4h5i-j6k7-9e6f3g2h1i4j,false
b903540e-aa6c-4b51-9a06-ae8147e67372,89021,77a2c3f1-6657-4287-acbc-cac0db4c2db4,"7,9,4,4,3.5,5,22",54.5,5,9c8b7a6d-1e2f-3g4h-i5j6-0f7g4h1i2j3k,false
e3d69070-5ab8-421e-a377-c3af1d2b47bf,89021,1da248a0-fa1a-41d2-8568-824ba9e89f4a,"6,8,5,5,3,5,22",54,6,9c8b7a6d-1e2f-3g4h-i5j6-0f7g4h1i2j3k,false
bfa5da0a-9306-4f1e-bbc1-753600fce47e,89021,5d08a959-d8a5-4069-8b4d-b8a77eb2db60,"8,7,4,4,6,3,21",53,7,9c8b7a6d-1e2f-3g4h-i5j6-0f7g4h1i2j3k,false
3a85c493-e573-42d7-bd3f-a06db11893d7,89021,edef3847-a990-4830-b1fa-da63197aeea1,"8,5,4,2,4,4,22",49,8,8a4c2b1d-9e3f-4a5d-b7c6-2d1e9f8a3b5c,false
8e18b661-2720-48f1-99a4-80ec67fd8d99,89021,655dedaf-7b52-4bc3-82f8-35bd7583eb00,"6,7,5,3,3,3,22",49,9,8a4c2b1d-9e3f-4a5d-b7c6-2d1e9f8a3b5c,false
d8058f58-bb2d-4381-b6a7-18115da9d276,89021,41be937c-4cce-4b83-ad07-5cae49951728,"8,6,2,3,5,4,20",48,10,2a3c4b1d-3e5f-2g6h-f9i8-8d5e2f1a9b6c,false
